urn,aspect,metadata,createdon,createdby
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.leadingedge_methodologies,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:55,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.global_initiatives,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:55,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.bricksandclicks_webreadiness,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:37:05,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.shelterdogs,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:59,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.information_schema.load_history,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""TECHNICAL_OWNER""},{""owner"":""urn:li:corpuser:chris@longtail.com"",""type"":""BUSINESS_OWNER""},{""owner"":""urn:li:corpuser:terrance@longtail.com"",""type"":""TECHNICAL_OWNER""}]}",2024-03-26 6:36:37,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.valueadded_applications,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:43,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.collaborative_actionitems_old,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:33,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.seamless_technologies,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:19,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.extended,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption.extended"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:25,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.encompassing,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption.encompassing"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:23,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.opensource_niches,PROD)",datasetKey,"{""name"":""long_tail_companions.analytics.opensource_niches"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:36:49,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.extended,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:51:53,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.encompassing,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:51:53,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.pet_details,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:37:06,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.usercentric_bandwidth,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:37:06,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.data_platform.emulation,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:59,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.information_schema.information_schema_catalog_name,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:59,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.monthly_adoption_projection,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""},{""urn"":""urn:li:glossaryTerm:Classification.Confidential""}]}",2024-12-12 6:36:55,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.onetoone_partnerships,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:59,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.global,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:37,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.bleedingedge_metrics,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:34,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.product_management.methodology,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:mitch@longtail.com"",""type"":""TECHNICAL_OWNER""},{""owner"":""urn:li:corpuser:shannon@longtail.com"",""type"":""BUSINESS_OWNER""},{""owner"":""urn:li:corpuser:chris@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:36:39,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.solution,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:20,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.fundamental,PROD)",datasetKey,"{""name"":""long_tail_companions.finance.fundamental"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:37:56,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.transparent_systems,PROD)",datasetKey,"{""name"":""long_tail_companions.analytics.transparent_systems"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:37:09,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.public.pet_profiles_joined_dynamic,PROD)",datasetKey,"{""name"":""long_tail_companions.public.pet_profiles_joined_dynamic"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2024-03-06 3:03:34,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.actuating,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption.actuating"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:34:59,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.fundamental,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:52:58,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.information_schema.pipes,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:55,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.data_platform.static,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:37:05,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.marketing.intermediate,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:59,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.active_customer_ltv,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:Classification.Confidential""}]}",2024-12-12 6:37:05,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.product_management.frame,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:59,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.product_management.hub,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:mitch@longtail.com"",""type"":""TECHNICAL_OWNER""},{""owner"":""urn:li:corpuser:shannon@longtail.com"",""type"":""BUSINESS_OWNER""},{""owner"":""urn:li:corpuser:chris@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:36:35,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.data_platform.high_level,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:35,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.marketing.budgetary_management,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:mitch@longtail.com"",""type"":""TECHNICAL_OWNER""},{""owner"":""urn:li:corpuser:shannon@longtail.com"",""type"":""BUSINESS_OWNER""},{""owner"":""urn:li:corpuser:chris@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:36:39,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.ebusiness_interfaces,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:17,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.active_customer_ltv,PROD)",datasetKey,"{""name"":""long_tail_companions.analytics.active_customer_ltv"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-21 4:23:25,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.enterprise_wide,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption.enterprise_wide"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:24,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.fourth_generation,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption.fourth_generation"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:26,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.complexity,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption_events.complexity"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:39,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.modules,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption_events.modules"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:50,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.benchmark,PROD)",datasetKey,"{""name"":""long_tail_companions.ecommerce.benchmark"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:37:37,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.virtual_initiatives,PROD)",datasetKey,"{""name"":""long_tail_companions.analytics.virtual_initiatives"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:37:18,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.asymmetric,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption.asymmetric"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:17,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.enterprise_wide,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:51:53,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.fourth_generation,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:51:53,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.complexity,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:51:53,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.modules,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:52:15,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.benchmark,PROD)",domains,"{""domains"":[""urn:li:domain:7186eeff-a860-4b0a-989f-69473a0c9c67""]}",2024-08-06 19:52:15,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.asymmetric,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:51:53,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.data_platform.oss_audit_log,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:37:05,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.endtoend_markets_old,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:37:05,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.cross_group,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:55,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.didactic,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""},{""urn"":""urn:li:glossaryTerm:Classification.Confidential""}]}",2024-12-12 6:37:06,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.marketing.persistent,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:37:05,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.nation,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:59,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.innovative_niches,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:14,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.radical,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:30,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.enterprise_metrics,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:15,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.enterprise_wide,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:19,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.marketing.canned_messaging,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:mitch@longtail.com"",""type"":""TECHNICAL_OWNER""},{""owner"":""urn:li:corpuser:shannon@longtail.com"",""type"":""BUSINESS_OWNER""},{""owner"":""urn:li:corpuser:chris@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:36:31,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.front_line,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:15,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.global_actionitems,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:36,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.data_platform.public_key,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:31,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.capability,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:31,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.flexibility,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:mitch@longtail.com"",""type"":""TECHNICAL_OWNER""},{""owner"":""urn:li:corpuser:shannon@longtail.com"",""type"":""BUSINESS_OWNER""},{""owner"":""urn:li:corpuser:chris@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:36:37,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.marketing.collaboration_outreach,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:mitch@longtail.com"",""type"":""TECHNICAL_OWNER""},{""owner"":""urn:li:corpuser:shannon@longtail.com"",""type"":""BUSINESS_OWNER""},{""owner"":""urn:li:corpuser:chris@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:36:27,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.optimized,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:20,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.bi_directional,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:34,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.gross_revenue_inputs,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:mitch@longtail.com"",""type"":""TECHNICAL_OWNER""},{""owner"":""urn:li:corpuser:shannon@longtail.com"",""type"":""BUSINESS_OWNER""},{""owner"":""urn:li:corpuser:chris@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:36:34,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.leverage,PROD)",datasetKey,"{""name"":""long_tail_companions.ecommerce.leverage"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:37:42,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.product_management.clear_thinking,PROD)",datasetKey,"{""name"":""long_tail_companions.product_management.clear_thinking"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:38:29,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.scaling_report,PROD)",datasetKey,"{""name"":""long_tail_companions.finance.scaling_report"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:38:04,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.monthly_revenue,PROD)",datasetKey,"{""name"":""long_tail_companions.finance.monthly_revenue"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:38:00,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.dedicated_point_of_contact,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption_events.dedicated_point_of_contact"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:41,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.daily_platforms,PROD)",datasetKey,"{""name"":""long_tail_companions.analytics.daily_platforms"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:36:14,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.information_schema.replication_groups,PROD)",datasetKey,"{""name"":""long_tail_companions.information_schema.replication_groups"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-08-18 23:50:24,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.leverage,PROD)",domains,"{""domains"":[""urn:li:domain:7186eeff-a860-4b0a-989f-69473a0c9c67""]}",2024-08-06 19:52:15,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.product_management.clear_thinking,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:53:40,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.scaling_report,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:52:58,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.monthly_revenue,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:52:58,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.dedicated_point_of_contact,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:51:53,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.marketing.intangible,PROD)",domains,"{""domains"":[""urn:li:domain:38ff2687-20fb-436c-bb59-4be4f4213fc9""]}",2024-08-06 19:52:58,urn:li:corpuser:tommy@longtail.com
